id,n_explotacion,cuenta,superficie,superficie_bpa,tecnificacion,sistematizacion_con_terrazas,rotacion_gramineas_y_cultivos_de_servicios,pasturas_implantadas,participacion_grupos_asociativos,nutricion_de_suelos,manejo_cultivos_intensivos,certificaciones,capacitacion,ag_tech,plan_pecuario,manejo_ganaderia_integrada,indic_agro,gestion_de_riesgo,eje_persona,eje_planeta,eje_prosperidad,total
bpa2019.6102,La Sevillana,300304340294,10.89,10.89,,,si,si,,,,,,,si,si,,,no,si,si,4
bpa2019.6103,San Bartolome,300601662683,44.83,44.83,si,,si,,si,,,,,si,,,,,si,si,si,4
bpa2019.6104,COSTA SACATE,270501386780,7.5,7.5,,,si,,si,,,,si,si,,,,,si,si,si,4
bpa2019.6105,TC 38 - LOS OLIVARES,310609973683,2.96,2.96,,si,,si,,si,,,,si,,,,,no,si,si,4
bpa2019.6106,LELLI,190216827256,49.65,18,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6107,LA CAUTIVA,330605242031,100.39,100,,,si,si,si,,,,,,si,,,,si,si,no,4
bpa2019.6108,DON NEMESIO,190509648356,16.28,16.28,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6109,Sucesión Dellara Ludovico,300205834994,37.09,37.09,,,si,si,,,,,si,,,,si,,si,si,no,4
bpa2019.6110,TORRES ALVARO RUBEN,140405597515,8.28,8.27,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6111,LA PELLEGRINA,360302478186,111.59,111.59,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6112,La Sevillana,300322359237,11.45,11.44,,,si,si,,,,,,,si,si,,,no,si,si,4
bpa2019.6113,la providencia,300218793821,94.33,94.33,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6114,LA PELLEGRINA,360418209883,99.57,99.5,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6115,UM1,300105805938,43,42.99,si,,,si,,,,,si,,si,,,,si,si,si,4
bpa2019.6116,Cuassolo Luis,270821849923,128.53,110,,,si,si,,si,,,,,si,,,,no,si,no,4
bpa2019.6117,GIGLI,190324754591,3.57,3.57,si,,si,,si,,,,,,si,,,,si,si,si,4
bpa2019.6118,yuto,300601675327,54.72,54.72,si,,,si,si,,,,si,,,,,,si,si,si,4
bpa2019.6119,LA PONDEROSA,250801277957,15.38,15.38,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6120,Platin S.A.,190316800011,103.93,100,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6121,ROSSO RUBEN B,330617667045,197.84,152.5,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6123,Giraudo JL,330615474932,95.31,60,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6124,Dña. Elena,360103276884,89.88,89,,,,si,si,,,,,,si,,si,,si,si,no,4
bpa2019.6125,HERMAN,220315741581,69.39,69,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6126,LA CASA DE JUAN,140118056937,3.09,3.09,si,,si,,si,,si,,,,,,,,si,si,si,4
bpa2019.6127,El Abuelo,250117218607,70.07,70.07,,,si,,,si,,,si,,,,si,,si,si,no,4
bpa2019.6128,Bajo del Tala,270724863873,85.55,75,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6129,LA ABA,330619595327,89.01,89,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6130,ESPINILLO RALO,300616918366,152.35,152.35,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6131,La Sevillana,300318827552,0.91,0.9,,,si,si,,,,,,,si,si,,,no,si,si,4
bpa2019.6132,EL RODEO,220122665071,353.64,353,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6133,La Sevillana,300322359270,18.11,18.1,,,si,si,,,,,,,si,si,,,no,si,si,4
